question,option1,option2,option3,option4,correct,marks,negative
What is malware removal,Process of deleting or quarantining malicious software,Changing the desktop background,Increasing CPU speed,Renaming user profiles,1,1,0.25
Which port is commonly used for HTTPS,21,25,80,443,4,1,0.25
What is a secure website indicator,A padlock in the browser address bar,Large font size only,Blue page background,Pop up ads,1,1,0.25
What is spear phishing,Targeted phishing aimed at a specific person or group,Network cable testing,Password encryption,File compression,1,1,0.25
Which is a common type of authentication something you know,Password,Fingerprint,Smart card,Face scan,1,1,0.25
Which is a common type of authentication something you have,Hardware token,Password,Security question,Username,1,1,0.25
Which is a common type of authentication something you are,Fingerprint,Password,OTP code,Email address,1,1,0.25
What does MFA stand for,Multi file access,Multi factor authentication,Main firewall alert,Managed file archive,2,1,0.25
What is phishing bait,False message or link designed to lure victims,A secure website certificate,A backup image,A router cache,1,1,0.25
Which practice helps prevent data loss,Regular backups,Using weak passwords,Disabling updates,Sharing credentials,1,1,0.25
What is a certificate in HTTPS,A digital file that verifies website identity,A login password,A router antenna,A firewall log,1,1,0.25
What does HTTPS provide,Encrypted web communication,Offline file storage,Email spam filtering,Keyboard encryption,1,1,0.25
Which attack steals session data,Session hijacking,File shredding,Data compression,CPU throttling,1,1,0.25
What is a security policy,A set of rules for protecting systems,A calendar reminder,A file rename rule,A software theme,1,1,0.25
What is a worm,A self replicating malware that spreads across networks,A backup drive,A secure update,A password generator,1,1,0.25
What is a Trojan,Malware disguised as legitimate software,A firewall alert,A browser cookie,A secure token,1,1,0.25
What is spyware,Software that secretly monitors user activity,Software for video editing,Software for file backup,Software for printing,1,1,0.25
Which tool scans for vulnerabilities,Vulnerability scanner,Text editor,Media player,Image viewer,1,1,0.25
What is a security audit,Review of systems and controls for risk,A task to change wallpaper,A network cable check only,A password reset method,1,1,0.25
Which is safer on public Wi Fi,Using a VPN,Disabling antivirus,Sharing files openly,Turning off encryption,1,1,0.25
What is data exfiltration,Unauthorized transfer of data out of a system,Backup to cloud,File compression,Disk formatting,1,1,0.25
What is key logging,Recording keystrokes without permission,Changing keyboard layout,Encrypting files,Updating drivers,1,1,0.25
What is an OTP,One time password,Online transfer protocol,Open threat policy,Only trusted process,1,1,0.25
Which should be used to verify software integrity,Digital signature,Screen lock,Wi Fi name,Monitor size,1,1,0.25
What is a secure coding practice,Validate all user input,Ignore errors,Store passwords in plain text,Disable logs,1,1,0.25
What is a buffer overflow,Writing more data than a buffer can hold,Running a backup job,Using strong encryption,Changing a password,1,1,0.25
Which language is often used for web security checks,Python,Paint,Excel,PowerPoint,1,1,0.25
What is a security token,An item used to prove identity,An email template,A network cable,A browser tab,1,1,0.25
What does IAM stand for,Identity and access management,Internet access module,Internal audit monitor,Integrated antivirus method,1,1,0.25
What is log monitoring,Reviewing system logs for suspicious activity,Deleting all logs daily,Changing file names,Compressing archives,1,1,0.25
Which is a safe way to dispose of confidential data,Securely wipe or shred it,Leave it in recycle bin,Send it by email,Store it on a shared drive,1,1,0.25
What is privilege escalation,Gaining higher permissions than allowed,Changing monitor resolution,Running antivirus scan,Backing up user files,1,1,0.25
What is a man in the middle attack,Intercepting communication between two parties,Downloading updates,Scanning for viruses,Creating backups,1,1,0.25
Which control helps detect unauthorized access,Audit logs,Screen wallpaper,Volume control,Printer queue,1,1,0.25
What is a secure password length recommendation,At least 12 characters,Exactly 4 characters,Only numbers,Same as username,1,1,0.25
What is a public key used for,Encrypting or verifying data in asymmetric cryptography,Opening folders,Viewing images,Formatting disks,1,1,0.25
What is a private key used for,Decrypting data or signing in asymmetric cryptography,Sharing with everyone,Resetting printers,Changing browser theme,1,1,0.25
What is symmetric encryption,Same key is used for encrypting and decrypting,Two different keys are always used,No key is required,A key is stored in email,1,1,0.25
What is asymmetric encryption,Uses a public key and a private key,Uses no key,Uses same key only,Uses password only,1,1,0.25
What is the purpose of hashing in passwords,Store a one way representation not plain text,Make passwords shorter only,Send password by email,Display the password clearly,1,1,0.25
What is a salt in password storage,Random data added before hashing to improve security,A password hint,A backup code,A login banner,1,1,0.25
What is data integrity,Assurance that data is not altered without authorization,Data stored on two monitors,High speed file transfer,Encrypted wallpaper,1,1,0.25
What is availability in CIA triad,Systems and data are accessible when needed,Files are always hidden,Passwords are never changed,Logs are deleted,1,1,0.25
What is confidentiality in CIA triad,Only authorized users can access data,Data is duplicated everywhere,Passwords are shared widely,Servers are always offline,1,1,0.25
Which practice helps reduce phishing risk,Verify sender and links before clicking,Open every attachment quickly,Use the same password everywhere,Disable multi factor authentication,1,1,0.25
What is a red team in security,A team that simulates attacks to test defenses,A backup support team,An antivirus vendor,A hardware repair team,1,1,0.25
What is a blue team in security,A defensive team that protects systems,A team that writes malware,A group that sells devices,A team that formats servers,1,1,0.25
What is a security vulnerability,Weakness that can be exploited,Strong password policy,Encrypted file name,Approved software,1,1,0.25
What is penetration testing,Simulated attack to find security weaknesses,Changing user avatars,Installing printer drivers,Compressing logs,1,1,0.25
What is a VPN tunnel,Encrypted pathway between endpoints,A public chat room,A file rename process,An email filter,1,1,0.25
What is the role of updates,Fix bugs and patch vulnerabilities,Decrease security,Delete logs,Share passwords,1,1,0.25
What is the safest response to a suspicious link,Do not click and verify first,Forward it to everyone,Enter your password immediately,Disable firewall,1,1,0.25
What is account locking used for,Prevent repeated unauthorized login attempts,Make passwords visible,Increase screen timeout only,Change browser history,1,1,0.25
What is phishing on SMS called,Smishing,Spamming,Sniffing,Shadowing,1,1,0.25
What is phishing on voice calls called,Vishing,Hashing,Routing,Tokenizing,1,1,0.25
What is a secure file transfer protocol,SFTP,HTTP,SMTP,Telnet,1,1,0.25
What is Telnet considered,An insecure remote access protocol,A file backup format,A password manager,A certificate type,1,1,0.25
What is SSH used for,Secure remote login and command execution,Viewing images,Editing audio,Printing reports,1,1,0.25
What is network segmentation,Dividing a network into smaller isolated parts,Combining all networks into one,Deleting switches,Turning off encryption,1,1,0.25
What is an IDS,Intrusion detection system,Internet data storage,Internal disk scanner,Identity delivery service,1,1,0.25
What is an IPS,Intrusion prevention system,Internet password service,Internal print server,Identity policy store,1,1,0.25
What is a secure email practice,Check sender and avoid unknown attachments,Reply with credentials,Use weak passwords,Forward confidential data freely,1,1,0.25
What is endpoint security,Protection of devices like laptops and phones,Protection of only routers,Protection of only keyboards,Protection of only printers,1,1,0.25
What is mobile device management,Tools to control and secure mobile devices,A type of keyboard layout,A backup only feature,A browser extension,1,1,0.25
What is ransomware recovery best practice,Restore from clean backups,Pay immediately always,Delete the OS,Disable all logs,1,1,0.25
What is a security control,A safeguard used to reduce risk,A game level,A wallpaper setting,A browser bookmark,1,1,0.25
What is the purpose of least privilege,Limit access to what is necessary,Give everyone admin rights,Remove passwords,Ignore security,1,1,0.25
What is threat intelligence,Information about current and emerging threats,Information about screen size,Data about printer ink,Details of file names only,1,1,0.25
What is cyber hygiene,Good security habits and practices,Computer cleaning only,Backup software name,Email formatting style,1,1,0.25
What is a secure default setting,The safest setting enabled by default,The fastest CPU option,The brightest display option,The loudest audio option,1,1,0.25
What is user awareness training,Educating users about security risks,Teaching typing speed only,Updating wallpaper daily,Replacing hardware monthly,1,1,0.25
What is data leakage,Unauthorized exposure of sensitive information,Loss of battery power,Increase in internet speed,Compression of files,1,1,0.25
What is an authentication failure,Login attempt not verified correctly,Successful backup,Encrypted archive,Firewall update,1,1,0.25
What is a secure browser habit,Keep browser updated and use trusted sites,Use random unknown extensions,Disable updates forever,Save passwords in plain text,1,1,0.25
What is whitelisting,Allowing only approved applications or sites,Blocking all internet access forever,Deleting browser cache,Changing login page,1,1,0.25
What is blacklisting,Blocking known malicious applications or sites,Allowing every file automatically,Turning off antivirus,Sharing admin passwords,1,1,0.25
What is a security token code,Code used to verify identity or authorize access,Code used to change wallpaper,Code used to print documents,Code used to rename files,1,1,0.25
What is risk assessment,Identifying and evaluating security risks,Changing all usernames,Deleting history daily,Installing a new monitor,1,1,0.25
What is business continuity,Ability to keep critical operations running during disruption,Only working on weekends,Backing up one folder,Using public Wi Fi,1,1,0.25
What is disaster recovery,Process of restoring systems after major disruption,Process of changing themes,Process of formatting laptops,Process of renaming accounts,1,1,0.25
What is secure disposal of hard drives,Physical destruction or certified wiping,Leaving drives in drawers,Posting them online,Sharing them with strangers,1,1,0.25
What is the main goal of cybersecurity,Protect systems networks and data from attacks,Increase screen brightness,Reduce typing effort,Make files larger,1,1,0.25
