question_type,question,question_hi,option1,option1_hi,option2,option2_hi,option3,option3_hi,option4,option4_hi,correct,marks,negative
mcq,What is IDS short for?,IDS का पूर्ण रूप क्या है?,Intrusion Detection System,घुसपैठ पहचान प्रणाली,Internet Data Service,इंटरनेट डेटा सेवा,Internal DNS Service,आंतरिक DNS सेवा,Integrated Data Store,इंटीग्रेटेड डेटा स्टोर,1,1,0.25
mcq,What is the difference between IDS and IPS?,IDS और IPS में अंतर क्या है?,IPS can block traffic,IPS ट्रैफ़िक ब्लॉक कर सकता है,IDS blocks traffic,IDS ट्रैफ़िक ब्लॉक करता है,They are identical,वे समान हैं,IDS encrypts data,IDS डेटा एन्क्रिप्ट करता है,1,1,0.25
mcq,What is multi-factor authentication (MFA)?,मल्टी-फैक्टर ऑथेंटिकेशन क्या है?,Multiple forms of verification,कई प्रकार की सत्यापन,Single password only,केवल एक पासवर्ड,Biometric only,केवल बायोमेट्रिक,No authentication,कोई प्रमाणीकरण नहीं,1,1,0.25
mcq,Which is an example of MFA?,MFA का उदाहरण कौन सा है?,Password + SMS code,पासवर्ड + SMS कोड,Username only,केवल उपयोगकर्ता नाम,PIN only,केवल पिन,SSO only,केवल SSO,1,1,0.25
mcq,What is phishing?,फिशिंग क्या है?,Social engineering to steal credentials,क्रेडेंशियल चुराने के लिए सोशल इंजीनियरिंग,Malware that encrypts files,फाइलों को एन्क्रिप्ट करने वाला मालवेयर,Network scanning tool,नेटवर्क स्कैनिंग टूल,Firewall rule,फ़ायरवॉल नियम,1,1,0.25
mcq,Which header helps prevent clickjacking?,कौन सा हेडर क्लिकजैकिंग को रोकने में मदद करता है?,X-Frame-Options,X-Frame-Options,Content-Type,Content-Type,Server,Server,Cache-Control,Cache-Control,1,1,0.25
mcq,What does XSS stand for?,XSS का पूर्ण रूप क्या है?,Cross-Site Scripting,Cross-Site Scripting,XML Secure Socket,XML Secure Socket,Cross Server Sync,Cross Server Sync,Extra Secure Server,Extra Secure Server,1,1,0.25
mcq,How to mitigate XSS?,XSS को कैसे कम करें?,Output encoding,आउटपुट एन्कोडिंग,Disable TLS,TLS अक्षम करें,Use weak passwords,कमज़ोर पासवर्ड का उपयोग,Open all ports,सभी पोर्ट खोलें,1,1,0.25
mcq,What is CSRF?,CSRF क्या है?,Cross-Site Request Forgery,Cross-Site Request Forgery,Certificate Signing Request,Certificate Signing Request,Content Security Framework,Content Security Framework,Customer Service Request,Customer Service Request,1,1,0.25
mcq,How to prevent CSRF?,CSRF को कैसे रोका जा सकता है?,Use anti-CSRF tokens,anti-CSRF टोकन का उपयोग करें,Disable cookies,कुकीज़ अक्षम करें,Use FTP,FTP का उपयोग करें,Use old browsers,पुराने ब्राउज़र का उपयोग करें,1,1,0.25
mcq,What is input validation for?,इनपुट वैलिडेशन किसके लिए है?,Prevent injection attacks,इंजेक्शन हमलों को रोकना,Speed up database,डेटाबेस तेज़ करना,Improve UI only,केवल UI सुधारना,Store logs,लॉग स्टोर करना,1,1,0.25
mcq,Which prevents SQL injection?,SQL इंजेक्शन को क्या रोकता है?,Prepared statements,प्रिपेयर्ड स्टेटमेंट्स,Plain string concat,स्ट्रिंग जोड़ना,Client-side only validation,केवल क्लाइंट-साइड वैलिडेशन,Using FTP,FTP का उपयोग,1,1,0.25
mcq,What is the best practice for password storage?,पासवर्ड स्टोरेज के लिए सर्वोत्तम अभ्यास क्या है?,Hash with salt and slow KDF,सॉल्ट और स्लो KDF के साथ हैश,Store plaintext,प्लेनटेक्स्ट स्टोर करें,Encrypt with reversible key,रिवर्सिबल कुंजी से एन्क्रिप्ट करें,Send via email,ईमेल के माध्यम से भेजें,1,1,0.25
mcq,What is a VPN used for?,VPN किसके लिए उपयोग होता है?,Secure remote access,सुरक्षित रिमोट एक्सेस,Local printing,स्थानीय प्रिंटिंग,File compression,फ़ाइल संपीड़न,Malware scanning,मैलवेयर स्कैनिंग,1,1,0.25
mcq,What is principle of least privilege?,न्यूनतम अधिकार सिद्धांत क्या है?,Grant minimal necessary access,आवश्यक न्यूनतम पहुँच दें,Grant admin to all,सभी को एडमिन दें,No access to anyone,किसी को भी पहुँच न दें,Open access by default,डिफ़ॉल्ट रूप से खुला एक्सेस,1,1,0.25
mcq,What is a DMZ in network security?,नेटवर्क सुरक्षा में DMZ क्या है?,A buffer network zone,एक बफ़र नेटवर्क ज़ोन,A single server,एकल सर्वर,Encryption algorithm,एन्क्रिप्शन एल्गोरिथ्म,User database,यूज़र डेटाबेस,1,1,0.25
mcq,What is two-way SSL (mutual TLS)?,टू-वे SSL (म्यूचुअल TLS) क्या है?,Both client and server present certificates,क्लाइंट और सर्वर दोनों प्रमाणपत्र प्रस्तुत करते हैं,Only server presents cert,केवल सर्वर प्रमाणपत्र प्रस्तुत करता है,Only client uses password,केवल क्लाइंट पासवर्ड का उपयोग करता है,No encryption,कोई एन्क्रिप्शन नहीं,1,1,0.25
mcq,Which is an example of physical security?,भौतिक सुरक्षा का उदाहरण कौन सा है?,Locked server room,लॉक किया हुआ सर्वर रूम,Strong password policy,मजबूत पासवर्ड नीति,Antivirus update,एंटीवायरस अपडेट,Input validation,इनपुट वैलिडेशन,1,1,0.25
mcq,What is ransomware?,रैनसमवेयर क्या है?,Malware that encrypts files for ransom,रैनसम के लिए फाइलें एन्क्रिप्ट करने वाला मालवेयर,Tool for backups,बैकअप के लिए टूल,Network scanner,नेटवर्क स्कैनर,Disk defragmenter,डिस्क डीफ्रैगमेंटेर,1,1,0.25
mcq,What is a security patch?,सुरक्षा पैच क्या है?,A software update fixing vulnerabilities,कमज़ोरियों को ठीक करने वाला सॉफ़्टवेयर अपडेट,Hardware replacement,हार्डवेयर प्रतिस्थापन,User training module,यूज़र ट्रेनिंग मॉड्यूल,Antivirus scan job,एंटीवायरस स्कैन जॉब,1,1,0.25
mcq,What is social engineering?,सोशल इंजीनियरिंग क्या है?,Manipulating people to reveal info,लोगों को जानकारी प्रकट करने के लिए प्रेरित करना,Encrypting emails,ईमेल एन्क्रिप्ट करना,Patching systems,सिस्टम पैच करना,Updating firmware,फ़र्मवेयर अपडेट करना,1,1,0.25
mcq,What is DLP (Data Loss Prevention)?,DLP (डेटा लॉस प्रिवेंशन) क्या है?,Prevent unauthorized data exfiltration,अनाधिकृत डेटा निकासी को रोकना,Encrypt hard drives,हार्ड ड्राइव एन्क्रिप्ट करना,Monitor CPU usage,सीपीयू उपयोग की निगरानी,Backup emails,ईमेल बैकअप,1,1,0.25
mcq,What is a honeypot used for?,हनीपॉट किसके लिए उपयोग होता है?,Deceive and study attackers,हमलावरों को भेदने और अध्ययन करने के लिए,Store backups,बैकअप स्टोर करना,Encrypt keys,कुंजी एन्क्रिप्ट करना,Authenticate users,उपयोगकर्ताओं की प्रमाणीकरण,1,1,0.25
mcq,What does SIEM stand for?,SIEM का पूर्ण रूप क्या है?,Security Information and Event Management,Security Information and Event Management,Vulnerability assessment tool,कमज़ोरी आकलन टूल,Backup management,बैकअप प्रबंधन,Single sign-on,Singe sign-on,1,1,0.25
mcq,What is privilege escalation?,प्रिविलेज एस्केलेशन क्या है?,Gaining higher access than intended,इच्छित से अधिक उच्च पहुँच प्राप्त करना,Password reset,पासवर्ड रीसेट,Data backup,डेटा बैकअप,Firewall rule,फ़ायरवॉल नियम,1,1,0.25
mcq,What is the role of a certificate authority (CA)?,सर्टिफिकेट अथॉरिटी (CA) की भूमिका क्या है?,Issue and validate digital certificates,डिजिटल सर्टिफिकेट जारी और मान्य करना,Store passwords,पासवर्ड स्टोर करना,Scan malware,मैलवेयर स्कैन करना,Encrypt disks,डिस्क एन्क्रिप्ट करना,1,1,0.25
mcq,What is a digital signature used for?,डिजिटल हस्ताक्षर किसके लिए उपयोग होता है?,Verify integrity and origin,अखंडता और स्रोत सत्यापित करना,Encrypt network traffic,नेटवर्क ट्रैफ़िक एन्क्रिप्ट करना,Store logs,लॉग स्टोर करना,Prevent CSRF,CSRF रोकना,1,1,0.25
mcq,What is key management?',की प्रबंधन क्या है?,Secure lifecycle of cryptographic keys,क्रिप्टोग्राफिक कुंजियों का सुरक्षित जीवनचक्र,User account creation,यूज़र खाता निर्माण,Patch deployment,पैच तैनाती,Firewall config,फ़ायरवॉल कॉन्फ़िग,1,1,0.25
mcq,What is an HSM (Hardware Security Module)?,HSM क्या है?,Secure hardware for key storage,कुंजी स्टोरेज के लिए सुरक्षित हार्डवेयर,Network switch,नेटवर्क स्विच,Antivirus appliance,एंटीवायरस उपकरण,Backup server,बैकअप सर्वर,1,1,0.25
mcq,What is the purpose of certificate revocation list (CRL)?,CRL का उद्देश्य क्या है?,List revoked certificates,रद्द किए गए सर्टिफिकेट की सूची,Store private keys,प्राइवेट की स्टोर करना,Encrypt emails,ईमेल एन्क्रिप्ट करना,User authentication,उपयोगकर्ता प्रमाणीकरण,1,1,0.25
mcq,What is OCSP used for?,OCSP किसके लिए उपयोग होता है?,Online certificate status checking,ऑनलाइन सर्टिफिकेट स्थिति जांच,Database backup,डाटाबेस बैकअप,Network routing,नेटवर्क रूटिंग,System logging,सिस्टम लॉगिंग,1,1,0.25
mcq,What is the function of a Web Application Firewall (WAF)?,WAF का क्या कार्य है?,Filter and monitor HTTP traffic to apps,ऐप्स के लिए HTTP ट्रैफ़िक फ़िल्टर और मॉनिटर करना,Encrypt databases,डाटाबेस एन्क्रिप्ट करना,Serve static files,स्टैटिक फाइल सर्व करना,Manage users,यूज़र प्रबंधन,1,1,0.25
mcq,What is SQL injection primarily targeting?,SQL इंजेक्शन किसे प्राथमिकता देता है?,Database queries,डेटाबेस क्वेरीज,Browser rendering,ब्राउज़र रेंडरिंग,File systems,फ़ाइल सिस्टम,Network devices,नेटवर्क डिवाइस,1,1,0.25
mcq,What is cross-site scripting (XSS) mainly exploited for?,XSS का मुख्य उपयोग क्या है?,Execute scripts in victim browsers,शिकार के ब्राउज़रों में स्क्रिप्ट चलाना,Encrypt traffic,ट्रैफ़िक एन्क्रिप्ट करना,Store files,फाइलें स्टोर करना,Backup data,डेटा बैकअप,1,1,0.25
mcq,What does 'defense in depth' mean?,'defense in depth' का अर्थ क्या है?,Multiple layered security controls,कई परतों वाले सुरक्षा नियंत्रण,Single point protection,एकल बिंदु सुरक्षा,No security,कोई सुरक्षा नहीं,Only physical locks,केवल भौतिक ताले,1,1,0.25
mcq,What is an example of endpoint protection?,एंडपॉइंट सुरक्षा का उदाहरण कौन सा है?,Antivirus and EDR,एंटीवायरस और EDR,Network switch,नेटवर्क स्विच,Printer settings,प्रिंटर सेटिंग्स,DNS server,डीएनएस सर्वर,1,1,0.25
mcq,What is MFA bypass risk associated with?,MFA बायपास जोखिम किससे जुड़ा है?,Phishing of one-time codes,वन-टाइम कोड्स की फिशिंग,Slow networks,धीमे नेटवर्क,Old hardware,पुराना हार्डवेयर,Disk failure,डिस्क फेलियर,1,1,0.25
mcq,What is SSO (Single Sign-On) advantage?,SSO का लाभ क्या है?,Reduced password fatigue,पासवर्ड थकान कम होना,Multiple passwords,कई पासवर्ड,No authentication required,कोई प्रमाणीकरण आवश्यक नहीं,Open network access,खुला नेटवर्क एक्सेस,1,1,0.25
mcq,What is OAuth used for?,OAuth किसके लिए प्रयोग होता है?,Authorization delegation,प्राधिकरण प्रतिनिधित्व,Encrypting files,फाइल एन्क्रिप्ट करना,Network routing,नेटवर्क रूटिंग,User backup,यूज़र बैकअप,1,1,0.25
mcq,What is SAML used for?,SAML किसके लिए प्रयोग होता है?,Exchange authentication and authorization data,प्रमाणीकरण और प्राधिकरण डेटा का आदान-प्रदान,File compression,फ़ाइल संपीड़न,Antivirus update,एंटीवायरस अपडेट,Printer config,प्रिंटर कॉन्फ़िग,1,1,0.25
mcq,What is the main goal of penetration testing?,पेनेट्रेशन टेस्टिंग का मुख्य उद्देश्य क्या है?,Find and exploit vulnerabilities,कमज़ोरियों को ढूंढना और उपयोग करना,Encrypt all data,सभी डेटा एन्क्रिप्ट करना,Create backups,बैकअप बनाना,Monitor CPU,सीपीयू मॉनिटर करना,1,1,0.25
mcq,What is responsible disclosure in security?,सुरक्षा में जिम्मेदार प्रकटन क्या है?,Report vulnerabilities privately first,सबसे पहले निजी रूप से कमजोरियों की रिपोर्ट करना,Publish immediately,turprt,Ignore vendors,वेंडर्स की अनदेखी करना,Sell exploit,एक्सप्लॉइट बेचना,1,1,0.25
mcq,What is the role of a security policy?,सुरक्षा नीति की भूमिका क्या है?,Define rules and procedures,नियम और प्रक्रियाएँ परिभाषित करना,Install software,सॉफ्टवेयर इंस्टॉल करना,Backup servers,सर्वर बैकअप करना,Monitor temperature,तापमान मॉनिटर करना,1,1,0.25
mcq,What is data classification?,डेटा वर्गीकरण क्या है?,Label data by sensitivity,संवेदनशीलता के अनुसार डेटा को लेबल करना,Encrypt entire disk,संपूर्ण डिस्क एन्क्रिप्ट करना,Replace hardware,हार्डवेयर बदलना,Install patches,पैच इंस्टॉल करना,1,1,0.25
mcq,What is GDPR primarily concerned with?,GDPR मुख्य रूप से किससे संबंधित है?,Personal data protection,व्यक्तिगत डेटा संरक्षण,Network routing,नेटवर्क रूटिंग,Cryptography standards,क्रिप्टोग्राफी मानक,Backup frequency,बैकअप आवृत्ति,1,1,0.25
mcq,What is PCI-DSS related to?,PCI-DSS किससे संबंधित है?,Payment card security,पेमेंट कार्ड सुरक्षा,Employee training,कर्मचारी प्रशिक्षण,Server admin,सर्वर व्यवस्थापक,Data center power,डेटा सेंटर पावर,1,1,0.25
mcq,What is a supply chain attack?,सप्लाई चेन हमला क्या है?,Compromise software/vendor to attack customers,ग्राहकों पर हमला करने के लिए सॉफ्टवेयर/वेंडर समझौता करना,Physical theft,भौतिक चोरी,Internal misconfig,आंतरिक गलत कॉन्फ़िग,Encrypt backups,बैकअप एन्क्रिप्ट करना,1,1,0.25
mcq,What is code signing used for?,कोड साइनिंग किसके लिए उपयोग होता है?,Verify software authenticity,सॉफ़्टवेयर प्रामाणिकता सत्यापित करना,Compress code,कोड संपीड़ित करना,Run as admin,एडमिन के रूप में चलाना,Store logs,लॉग स्टोर करना,1,1,0.25
mcq,What is secure boot for?,सिक्योर बूट किसके लिए है?,Ensure only trusted boot code runs,केवल विश्वसनीय बूट कोड चलना सुनिश्चित करना,Disable OS,OS अक्षम करना,Encrypt RAM,RAM एन्क्रिप्ट करना,Update BIOS,BIOS अपडेट,1,1,0.25
mcq,What is TPM used for?,TPM किसके लिए उपयोग होता है?,Store cryptographic keys securely,क्रिप्टोग्राफिक कुंजियों को सुरक्षित रूप से स्टोर करना,Routing packets,पैकेट रूट करना,Scan for malware,मैलवेयर स्कैन करना,Backup data,डेटा बैकअप,1,1,0.25
mcq,What is a man-in-the-middle attack?,MITM हमला क्या है?,Attacker intercepts communication,हमलावर संचार को इंटरसेप्ट करता है,Encrypt data at rest,डेटा एट रेस्ट एन्क्रिप्ट करना,Store logs locally,लॉग लोकली स्टोर करना,Patch systems,सिस्टम पैच करना,1,1,0.25
mcq,What is certificate pinning?,सर्टिफिकेट पिनिंग क्या है?,Bind a server's cert to client to prevent MITM,MITM रोकने के लिए क्लाइंट को सर्वर के सर्ट से बाँधना,Store certs in DB,DB में सर्ट स्टोर करना,Use any cert,कोई भी सर्ट उपयोग करना,Disable TLS,TLS अक्षम करना,1,1,0.25
mcq,What is rate limiting used to prevent?,रेट लिमिटिंग किसे रोकने के लिए है?,Brute-force and DoS attacks,ब्रूट-फोर्स और DoS हमलों को रोकना,Encrypt data,डेटा एन्क्रिप्ट करना,Store passwords,पासवर्ड स्टोर करना,User training,यूज़र ट्रेनिंग,1,1,0.25
mcq,What is a brute-force attack?,ब्रूट-फोर्स हमला क्या है?,Try many passwords to guess one,किसी पासवर्ड का अनुमान लगाने के लिए कई प्रयास करना,Inject SQL queries,SQL इंजेक्ट करना,Scan ports,पोर्ट स्कैन करना,Encrypt disk,डिस्क एन्क्रिप्ट करना,1,1,0.25
mcq,What is a rainbow table attack?,रैनबो टेबल हमला क्या है?,Precomputed hashes to reverse weak hashes,कमज़ोर हैश को उलटने के लिए प्रीकम्प्यूटेड हैश,Encrypt keys,कुंजी एन्क्रिप्ट करना,Secure booting,सिक्योर बूट,Use TLS," TLS का उपयोग",1,1,0.25
mcq,What mitigates rainbow table attacks?,रैनबो टेबल हमलों को क्या कम करता है?,Use a unique salt per password,प्रत्येक पासवर्ड के लिए अद्वितीय सॉल्ट का उपयोग,Use shorter passwords,छोटे पासवर्ड का उपयोग,Disable hashing,हैशिंग अक्षम करना,Store plaintext,प्लेनटेक्स्ट स्टोर करना,1,1,0.25
mcq,What is the purpose of penetration testing report?,पेनेट्रेशन टेस्टिंग रिपोर्ट का उद्देश्य क्या है?,Document findings and remediation,खोज और सुधार दस्तावेज़ करना,Encrypt user data,यूज़र डेटा एन्क्रिप्ट करना,Replace hardware,हार्डवेयर बदलना,Delete logs,लॉग हटाना,1,1,0.25
mcq,What is CVE in vulnerability management?,वulnerबिलिटी प्रबंधन में CVE क्या है?,Common Vulnerabilities and Exposures,कॉमन वल्नरेबिलिटीज़ एंड एक्सपोज़र्स,Company Vulnerability Estimate,कंपनी वल्नरेबिलिटी अनुमान,Certified Vendor Entry,प्रमाणित वेंडर एंट्री,Customer Value Eval,ग्राहक मूल्य मूल्यांकन,1,1,0.25
mcq,What is the use of CVSS score?,CVSS स्कोर का उपयोग क्या है?,Prioritize vulnerability severity,कमज़ोरी गंभीरता को प्राथमिकता देना,Encrypt files,फाइल्स एन्क्रिप्ट करना,Backup frequency,बैकअप आवृत्ति,User auth,यूज़र ऑथ,1,1,0.25
mcq,What is incident response playbook?',इंसिडेंट रिस्पॉन्स प्लेबुक क्या है?',Step-by-step actions during incidents,घटना के दौरान चरण-दर-चरण क्रियाएँ,Daily backup schedule,दैनिक बैकअप शेड्यूल,User onboarding guide,यूज़र ऑनबोर्डिंग गाइड,Server install doc,सर्वर इंस्टॉल डॉक,1,1,0.25
mcq,What is forensic chain of custody?,फोरेंसिक चेन ऑफ कस्टडी क्या है?',Document handling of evidence,साक्ष्य के हैंडलिंग का दस्तावेज़ीकरण,Encrypt all files,सभी फाइलें एन्क्रिप्ट करना,Run antivirus,एंटीवायरस चलाना,Change passwords,पासवर्ड बदलना,1,1,0.25
mcq,What is secure configuration management?,सिक्योर कॉन्फ़िगरेशन मैनेजमेंट क्या है?',Maintain hardened system settings,हार्डेंड सिस्टम सेटिंग्स बनाए रखना,Install unknown software,अज्ञात सॉफ्टवेयर इंस्टॉल करना,Disable logging,लॉगिंग अक्षम करना,Open all ports,सभी पोर्ट खोलें,1,1,0.25
mcq,What is the role of backup encryption?,बैकअप एन्क्रिप्शन की भूमिका क्या है?',Protect backup data confidentiality,बैकअप डेटा की गोपनीयता की रक्षा करना,Speed up restores,रिकवरी तेज करना,Disable backups,बैकअप अक्षम करना,Store passwords,पासवर्ड स्टोर करना,1,1,0.25
mcq,What is the main risk of default credentials?,डिफ़ॉल्ट क्रेडेंशियल्स का मुख्य जोखिम क्या है?,Easy unauthorized access,सरल अनधिकृत पहुँच,Faster performance,तेज़ प्रदर्शन,Better logging,बेहतर लॉगिंग,Data compression,डेटा संपीड़न,1,1,0.25
mcq,What is the purpose of asset inventory in security?,सुरक्षा में एसेट इन्वेंटरी का उद्देश्य क्या है?,Know what to protect,क्या सुरक्षित करना है जानना,Encrypt data,डेटा एन्क्रिप्ट करना,Train users,उपयोगकर्ता प्रशिक्षण,Scan ports,पोर्ट स्कैन,1,1,0.25
mcq,What is role-based access control (RBAC)?,RBAC क्या है?,Access based on user roles,उपयोगकर्ता भूमिकाओं के आधार पर पहुँच,Open access to all,सभी के लिए खुला एक्सेस,Password sharing,पासवर्ड साझा करना,No authentication,कोई प्रमाणीकरण नहीं,1,1,0.25
mcq,What is container escape risk?,कंटेनर एस्केप जोखिम क्या है?',Breakout from container to host,कंटेनर से होस्ट तक ब्रेकआउट,Encrypt container,कंटेनर एन्क्रिप्ट करना,Install antivirus,एंटीवायरस इंस्टॉल करना,Use FTP,FTP का उपयोग,1,1,0.25
mcq,What is supply chain security control?,सप्लाई चेन सुरक्षा नियंत्रण क्या है?',Vet and monitor third-party code,थर्ड-पार्टी कोड का परीक्षण और निगरानी करना,Ignore vendors,वेंडर्स की अनदेखी करना,Open all ports,सभी पोर्ट खोलना,Use default creds,डिफ़ॉल्ट क्रेड्स का उपयोग,1,1,0.25
mcq,What is the effect of weak random number generator in crypto?,क्रिप्टो में कमजोर रैंडम नंबर जेनरेटर का प्रभाव क्या है?,Predictable keys and nonces,प्रीडिक्टेबल की और नॉन्स,Better performance,बेहतर प्रदर्शन,Smaller keys,छोटी कुंजियाँ,Faster hashing,तेज़ हैशिंग,1,1,0.25
mcq,What is role of entropy in cryptography?,क्रिप्टोग्राफी में एंट्रॉपी की भूमिका क्या है?',Measure randomness quality,रैंडमनेस की गुणवत्ता मापना,Store keys,कुंजियाँ स्टोर करना,Hash passwords,पासवर्ड हैश करना,Compress data,डेटा संपीड़न,1,1,0.25
mcq,What is beaconing in network threats?,नेटवर्क खतरों में बीकनिंग क्या है?',Malware contacting C2 server periodically,मैलवेयर का समय-समय पर C2 सर्वर से संपर्क करना,Patch management,पैच प्रबंधन,User training,यूज़र ट्रेनिंग,Antivirus update,एंटीवायरस अपडेट,1,1,0.25
mcq,What is DNS spoofing attack?,DNS स्पूफिंग हमला क्या है?',Return fake IP for domain,डोमेन के लिए फेक IP लौटाना,Encrypt DNS,DNS एन्क्रिप्ट करना,Use backup DNS,बैकअप DNS उपयोग करना,Disable network,नेटवर्क अक्षम करना,1,1,0.25
mcq,What is DNSSEC used for?,DNSSEC किसके लिए उपयोग होता है?',Authenticate DNS records,DNS रिकॉर्ड्स को प्रमाणित करना,Compress DNS,DNS संपीड़न,Encrypt email,ईमेल एन्क्रिप्ट करना,Patch DNS,DNS पैच,1,1,0.25
mcq,What is session hijacking?,सेशन हाइजैकिंग क्या है?',Take over user session token,यूज़र सेशन टोकन का कब्ज़ा करना,Encrypt session,सेशन एन्क्रिप्ट करना,Change password,पासवर्ड बदलना,Server reboot,सर्वर रिबूट,1,1,0.25
mcq,What is secure cookie flag 'HttpOnly' used for?,HttpOnly कुकि फ़्लैग किसके लिए है?,Prevent JS access to cookies,कुकीज़ तक JS एक्सेस रोकना,Make cookie public,कुकी सार्वजनिक बनाना,Increase size,आकार बढ़ाना,Allow cross-site,क्रॉस-साइट अनुमति,1,1,0.25
mcq,What is 'Secure' flag on cookies?,कुकीज़ पर 'Secure' फ्लैग क्या करता है?,Send cookie only over HTTPS,केवल HTTPS पर कुकी भेजता है,Send cookie over HTTP,HTTP पर कुकी भेजना,Delete cookie,कुकी हटाना,Store cookie plaintext,कुकी प्लेनटेक्स्ट में स्टोर,1,1,0.25
mcq,What is the purpose of Content Security Policy (CSP)?,CSP का उद्देश्य क्या है?,Restrict sources of content to prevent XSS,XSS रोकने के लिए सामग्री स्रोतों को सीमित करना,Encrypt content,सामग्री एन्क्रिप्ट करना,Allow inline scripts,इनलाइन स्क्रिप्ट की अनुमति देना,Open all sources,सभी स्रोत खोलना,1,1,0.25
mcq,What is secure default configuration principle?,सिक्योर डिफ़ॉल्ट कॉन्फ़िगरेशन सिद्धांत क्या है?,Defaults should be secure and minimal,डिफ़ॉल्ट्स को सुरक्षित और न्यूनतम होना चाहिए,Defaults open ports,डिफ़ॉल्ट्स पोर्ट खोलें,Defaults enable admin,डिफ़ॉल्ट एडमिन सक्षम करें,Defaults disable logging,लॉगिंग अक्षम,1,1,0.25
mcq,What is container image signing for?,कंटेनर इमेज साइनिंग किसके लिए है?,Verify image provenance,इमेज की उत्पत्ति सत्यापित करना,Compress images,इमेज संपीड़न,Run images as root,रूट के रूप में चलाना,Store images plaintext,इमेज प्लेनटेक्स्ट में स्टोर,1,1,0.25
mcq,What is secret management best practice?,सीक्रेट मैनेजमेंट सर्वोत्तम प्रथा क्या है?,Do not hardcode secrets; use vault,सीक्रेट्स को हार्डकोड न करें; वॉल्ट का उपयोग करें,Store secrets in code,सीक्रेट्स को कोड में स्टोर करें,Email secrets,सीक्रेट्स ईमेल करें,Print secrets,सीक्रेट्स प्रिंट करें,1,1,0.25
mcq,What is API rate limiting preventing?,API रेट लिमिटिंग किसे रोकती है?,Abuse and DoS of API endpoints,एपीआई एंडपॉइंट्स के दुरुपयोग और DoS,Encrypt API,एपीआई एन्क्रिप्ट करना,Backup APIs,एपीआई बैकअप,Store logs,लॉग स्टोर,1,1,0.25
mcq,What is token-based authentication advantage?,टोकन-आधारित प्रमाणीकरण का लाभ क्या है?,Stateless and scalable sessions,स्टेटलेस और स्केलेबल सेशन्स,Store all sessions server-side,सभी सेशन्स सर्वर-साइड स्टोर करना,Use plain passwords,प्लेन पासवर्ड उपयोग,Disable TLS," TLS अक्षम",1,1,0.25
